Disease,What is it?,Symptoms,Cause,Prevention,Treatment,Why it matters
Abortion,"Overview Around 73 million induced abortions take place worldwide each year. Six out of 10 (61%) of all unintended pregnancies, and 3 out of 10 (29%) of all pregnancies, end in induced abortion (1). ",,uterine perforation (caused when the uterus is pierced by a sharp object); and damage to the genital tract and internal organs as a consequence of inserting dangerous objects into the vagina or anus. ,that health workers are supported and protected from stigma; and provision of contraception to prevent unintended pregnancies. ,"Comprehensive abortion care is included in the list of essential health care services published by WHO in 2020. Abortion is a simple health care intervention that can be safely and effectively managed by a wide range of health workers using medication or a surgical procedure. In the first 12 weeks of pregnancy, a medical abortion can also be safely self-managed by the pregnant person outside of a health care facility (e.g. at home), in whole or in part. This requires that the woman has access to accurate information, quality medicines and support from a trained health worker (if she needs or wants it during the process). Comprehensive abortion care includes the provision of information, abortion management and post-abortion care. It encompasses care related to miscarriage (spontaneous abortion and missed abortion), induced abortion (the deliberate interruption of an ongoing pregnancy by medical or surgical means), incomplete abortion as well as intrauterine fetal demise. ","Consequences of inaccessible quality abortion care Lack of access to safe, affordable, timely and respectful abortion care, and the stigma associated with abortion, pose risks to women’s physical and mental well-being throughout the life-course. "
Abuse of older people,Overview ,,"The abuse of older people, also known as elder abuse, is a single or repeated act, or lack of appropriate action, occurring within any relationship where there is an expectation of trust, which causes harm or distress to an older person. This type of violence constitutes a violation of human rights and includes physical, sexual, psychological and emotional abuse; financial and material abuse; abandonment; neglect; and serious loss of dignity and respect. Scope of the problem ","Prevention Many strategies have been tried to prevent and respond to abuse of older people, but evidence for the effectiveness of most of these interventions is limited at present. Strategies considered most promising include caregiver interventions, which provide services to relieve the burden of caregiving; money management programmes for older adults vulnerable to financial exploitation; helplines and emergency shelters; and multi-disciplinary teams, as the responses required often cut across many systems, including criminal justice, health care, mental health care, adults protective services and long-term care (5). ","Data on the extent of the problem in institutions such as hospitals, nursing homes and other long-term care facilities are scarce. However, a review of recent studies on abuse of older people in institutional settings (2) indicates that 64.2% of staff reported perpetrating some form of abuse in the past year. Table 1: Systematic reviews and meta-analyses ","Consequences Abuse of older people can have serious physical and mental health, financial, and social consequences, including, for instance, physical injuries, premature mortality, depression, cognitive decline, financial devastation and placement in nursing homes. For older people, the consequences of abuse can be especially serious and recovery may take longer (4). "
Adolescent and young adult health,"Key facts Over 1.5 million adolescents and young adults aged 10–24 years died in 2021, about 4500 every day. Young adolescents aged 10–14 years have the lowest risk of death among all age groups. Overview ",,"Injuries (including road traffic injuries and drowning), interpersonal violence, self-harm and maternal conditions are the leading causes of death among adolescents and young adults. Half of all mental health disorders in adulthood start by age 18, but most cases are undetected and untreated. ","Tuberculosis (TB) is a preventable and curable disease, but it continues to impact the lives and development of millions of children and adolescents. Children and young adolescents aged under 15 years represent about 11% of all people with TB globally. This means 1.1 million children and young adolescents aged under 15 years fall ill with TB every year, and more than 225 000 of them lose their lives. Adolescents and young adults usually present with bacteriologically infectious TB characterized by cavities seen on chest x-rays. The Global Tuberculosis Report shows that notification rates in adolescents aged 15–19 years are relatively high compared with younger adolescents. ","One of the specific targets of the health Sustainable Development Goal (SDG 3) is that by 2030, the world should ensure universal access to sexual and reproductive health-care services, including for family planning, information and education, and the integration of reproductive health into national strategies and programmes. Adolescent pregnancy fact sheet ","Many factors have an impact on the well-being and mental health of adolescents. Violence, poverty, stigma, exclusion, and living in humanitarian and fragile settings can increase the risk of developing mental health problems. Adolescent mental health fact sheet "
Adolescent pregnancy,"Key facts As of 2019, adolescents aged 15–19 years in low- and middle-income countries (LMICs) had an estimated 21 million pregnancies each year, of which approximately 50% were unintended and which resulted in an estimated 12 million births (1,2). Based on 2019 data, 55% of unintended pregnancies among adolescent girls aged 15–19 years end in abortions, which are often unsafe in LMICs (1). ",,"Adolescent pregnancy is a global phenomenon with clearly known causes and serious health, social and economic consequences. Globally, the adolescent birth rate (ABR) has decreased, but rates of change have been uneven across regions. There are also enormous variations in levels between and within countries. Adolescent pregnancy tends to be higher among those with less education or of low economic status. Further, there is slower progress in reducing adolescent first births amongst these and other vulnerable groups, leading to increasing inequity. Child marriage and child sexual abuse place girls at increased risk of pregnancy, often unintended. In many places, barriers to obtaining and using contraceptives prevent adolescents from avoiding unintended pregnancies. There is growing attention being paid to improving access to quality maternal care for pregnant and parenting adolescents. WHO works with partners to advocate for attention to adolescent pregnancy, to build an evidence base for action, to develop policy and programme support tools, to build capacity and to support countries to address adolescent pregnancy effectively. Scope of the problem ",Preventing pregnancy among adolescents and pregnancy-related mortality and morbidity are foundational to achieving positive health outcomes across the life course and imperative for achieving the Sustainable Development Goals (SDGs) related to maternal and newborn health. Overview ,"Strategies and interventions related to adolescent pregnancy have focused on pregnancy prevention. However, there is growing attention being paid to improving access to and quality of maternal care for pregnant and parenting adolescents. Available data on access paints a mixed picture. Access to quality care depends on the geographic context and the social status of adolescents. Even where access is not limited, adolescents appear to receive a lower quality of both clinical care and interpersonal support than adult women do. WHO response ","Adolescent pregnancy is a global phenomenon with clearly known causes and serious health, social and economic consequences to individuals, families and communities. There is consensus on the evidence-based actions needed to prevent it. There is growing global, regional and national commitment to preventing child marriage and adolescent pregnancy and childbearing. Nongovernmental organizations have led the effort in several countries. In a growing number of countries, governments are taking the lead to put in place large-scale programmes. They challenge and inspire other countries to do what is doable and urgently needs to be done – now. References "
Ageing and health,"Overview People worldwide are living longer. Today most people can expect to live into their sixties and beyond. Every country in the world is experiencing growth in both the size and the proportion of older persons in the population. By 2030, 1 in 6 people in the world will be aged 60 years or over. At this time the share of the population aged 60 years and over will increase from 1 billion in 2020 to 1.4 billion. By 2050, the world’s population of people aged 60 years and older will double (2.1 billion). The number of persons aged 80 years or older is expected to triple between 2020 and 2050 to reach 426 million. ",,,,"A longer life brings with it opportunities, not only for older people and their families, but also for societies as a whole. Additional years provide the chance to pursue new activities such as further education, a new career or a long-neglected passion. Older people also contribute in many ways to their families and communities. Yet the extent of these opportunities and contributions depends heavily on one factor: health. Evidence suggests that the proportion of life in good health has remained broadly constant, implying that the additional years are in poor health. If people can experience these extra years of life in good health and if they live in a supportive environment, their ability to do the things they value will be little different from that of a younger person. If these added years are dominated by declines in physical and mental capacity, the implications for older people and for society are more negative. ","At the biological level, ageing results from the impact of the accumulation of a wide variety of molecular and cellular damage over time. This leads to a gradual decrease in physical and mental capacity, a growing risk of disease and ultimately death. These changes are neither linear nor consistent, and they are only loosely associated with a person’s age in years. The diversity seen in older age is not random. Beyond biological changes, ageing is often associated with other life transitions such as retirement, relocation to more appropriate housing and the death of friends and partners. Common health conditions associated with ageing "
Alcohol,Key facts ,,"Alcohol or alcoholic beverages contain ethanol, a psychoactive and toxic substance that can cause dependence. Worldwide, around 2.6 million deaths were caused by alcohol consumption in 2019. Of these, 1.6 million deaths were from noncommunicable diseases, 700 000 deaths from injuries and 300 000 deaths from communicable diseases. ","Effective alcohol control interventions exist and should be utilized more, at the same time it is important for people to know risks associated with alcohol consumption and take individual actions to protect from its harmful effects. Overview ","Based on 2019 data, about 54% out of 145 reporting countries had national guidelines/standards for specialized treatment services for alcohol use disorders, but only 46% of countries had legal regulations to protect the confidentiality of people in treatment. Access to screening, brief intervention and treatment for people with hazardous alcohol use and alcohol use disorder remains very low, as well as access to medications for treatment of alcohol use disorders. Overall, the proportion of people with alcohol use disorders in contact with treatment services varies from less than 1% to no more than 14% in all countries where such data are available. ","Some groups and individuals who are vulnerable or at risk may have a higher susceptibility to the toxic, psychoactive and dependence-inducing properties of alcohol. On the other hand, individuals who adopt lower-risk patterns of alcohol consumption may not necessarily face a significantly increased likelihood of negative health and social consequences. Societal factors which affect the levels and patterns of alcohol consumption and related problems include cultural and social norms, availability of alcohol, level of economic development, and implementation and enforcement of alcohol policies. "
Ambient (outdoor) air pollution,"Key facts Air pollution is one of the greatest environmental risks to child health In 2019, 99% of the world’s population was living in places where the WHO air quality guidelines levels were not met. ",,"Ambient (outdoor) air pollution is estimated to have caused 4.2 million premature deaths worldwide in 2019. Some 89% of those premature deaths occurred in low- and middle-income countries, and the greatest number in the WHO South-East Asia and Western Pacific Regions. ","Addressing air pollution, which is the second highest risk factor for noncommunicable diseases, is key to protecting public health. Most sources of outdoor air pollution are well beyond the control of individuals and this demands concerted action by local, national and regional level policy-makers working in sectors like energy, transport, waste management, urban planning and agriculture. ","Policies and investments supporting cleaner transport, energy efficient homes, power generation, industry and better municipal waste management would reduce key sources of outdoor air pollution. Access to clean household energy would also greatly reduce ambient air pollution in some regions. Overview ","PM is a common proxy indicator for air pollution. There is strong evidence for the negative health impacts associated with exposure to this pollutant. The major components of PM are sulfates, nitrates, ammonia, sodium chloride, black carbon, mineral dust and water. Carbon monoxide (CO) "
Anaemia,Overview Anaemia is a condition in which the number of red blood cells or the haemoglobin concentration within them is lower than normal. It mainly affects women and children. Anaemia occurs when there isn’t enough haemoglobin in the body to carry oxygen to the organs and tissues. ,"Signs and symptoms Anaemia causes symptoms such as fatigue, reduced physical work capacity, and shortness of breath. Anaemia is an indicator of poor nutrition and other health problems. ","In severe cases, anaemia can cause poor cognitive and motor development in children. It can also cause problems for pregnant women and their babies. Anaemia can be caused by poor nutrition, infections, chronic diseases, heavy menstruation, pregnancy issues and family history. It is often caused by a lack of iron in the blood. ","Anaemia is preventable and treatable. In many low- and lower-middle income settings, the most commonly- recognized causes of anaemia are iron deficiency and malaria. ","Infections can be another important cause of anaemia, depending on the local burden of infectious diseases, such as malaria, tuberculosis, HIV and parasitic infections. Infections can impair nutrient absorption and metabolism (e.g. malaria, ascariasis) or can cause nutrient loss (e.g. schistosomiasis, hookworm infection). Many different chronic conditions can cause inflammation and lead to anaemia of inflammation or anaemia of chronic disease. HIV infection causes anaemia through a wide range of mechanisms including ineffective production or excessive destruction of red blood cells, blood loss, and side effects of the drug treatment. Consistent heavy menstrual losses, maternal blood volume expansion during pregnancy, and blood loss during and after childbirth, particularly in cases of postpartum haemorrhage, commonly lead to anaemia. ","Global impact The consequences of anaemia can vary. It can affect school performance (through developmental delays and behavioural disturbances such as decreased motor activity, social interaction and attention to tasks), productivity in adult life and overall quality of life in general.  During pregnancy, anaemia has been associated with poor maternal and birth outcomes, including premature birth, low birth weight and maternal mortality. In addition to the health consequences, anaemia can have important financial impacts for individuals, families, communities and countries. It is estimated that for every US$ 1 invested in reducing anaemia in women, US$ 12 in economic returns could potentially be produced (2). "
Animal bites,Key facts Overview ,"Treatment depends on the animal species, bite location, clinical symptoms and allergic reaction of the bite victim. The main principles of care include: early medical management; ","Bites by animals carrying venoms, toxins and pathogens are a significant cause of morbidity and mortality worldwide. Globally, up to 5 million people are bitten by snakes annually, with nearly 50% of them ending up with envenomation – mostly in Africa and South-East Asia – necessitating prompt medical intervention with appropriate antivenom. ",Prevention of snake bites and their serious health consequences Prevention of snake bites involves informing communities about snake bite risks and prevention techniques including wearing protective shoes/boots; keep storage areas clear of rodents; raise beds above floor level; and tucking mosquito nets securely under sleeping mats. ,"The health impacts of animal bites vary with the type and health of the animal species, the size and health of the bitten person, and accessibility to appropriate health care. Paediatric cases are of particular concern related to animal bite injuries, with over half of the victims being children. While numerous animal species have the potential to bite humans, incidents involving domestic animals are significantly more prevalent than those involving wildlife, and subsequent infections from wounds can lead to severe illness or even death. In general, the key to better outcomes related to animal bites is timely presentation of the bitten person for appropriate medical attention and accurately identifying the animal attacked. Animals of common concern: ","Dog bite fatality rates are higher in low- and middle-income countries than in high-income countries because dog-mediated rabies viral infection, and there may be a lack of post-exposure treatment and appropriate access to health care. An estimated 59 000 people die annually from rabies, and bites from rabid dogs account for majority of these deaths. While rabies is vaccine preventable and post-exposure prophylaxis can be administered soon after exposure to save lives, once signs of rabies appear, there is no treatment and the consequences are fatal. Who is most at risk? "
Antimicrobial resistance,"Key facts Antimicrobial resistance (AMR) is one of the top global public health and development threats. It is estimated that bacterial AMR was directly responsible for 1.27 million global deaths in 2019 and contributed to 4.95 million deaths (1). The misuse and overuse of antimicrobials in humans, animals and plants are the main drivers in the development of drug-resistant pathogens. ",,"The global rise in antibiotic resistance poses a significant threat, diminishing the efficacy of common antibiotics against widespread bacterial infections. The 2022 Global Antimicrobial Resistance and Use Surveillance System (GLASS) report highlights alarming resistance rates among prevalent bacterial pathogens.  Median reported rates in 76 countries of 42% for third-generation cephalosporin-resistant E. coli and 35% for methicillin-resistant Staphylococcus aureus are a major concern. For urinary tract infections caused by E. coli, 1 in 5 cases exhibited reduced susceptibility to standard antibiotics like ampicillin, co-trimoxazole, and fluoroquinolones in 2020. This is making it harder to effectively treat common infections. Klebsiella pneumoniae, a common intestinal bacterium, also showed elevated resistance levels against critical antibiotics. Increased levels of resistance potentially lead to heightened utilization of last-resort drugs like carbapenems, for which resistance is in turn being observed across multiple regions. As the effectiveness of these last-resort drugs is compromised, the risks increase of infections that cannot be treated. Projections by the Organization for Economic Cooperation and Development (OECD) indicate an anticipated twofold surge in resistance to last-resort antibiotics by 2035, compared to 2005 levels, underscoring the urgent need for robust antimicrobial stewardship practices and enhanced surveillance coverage worldwide. ","Priorities to address AMR in human health include preventing all infections, which may result in inappropriate use of antimicrobials; ensuring universal access to quality diagnosis and appropriate treatment of infections; and strategic information and innovation, for example surveillance of AMR and antimicrobial consumption/use, and research and development for novel vaccines, diagnostics and medicines. Overview ","AMR puts many of the gains of modern medicine at risk. It makes infections harder to treat and makes other medical procedures and treatments – such as surgery, caesarean sections and cancer chemotherapy – much riskier. The world faces an antibiotics pipeline and access crisis. There is an inadequate research and development pipeline in the face of rising levels of resistance, and urgent need for additional measures to ensure equitable access to new and existing vaccines, diagnostics and medicines. ","AMR affects countries in all regions and at all income levels. Its drivers and consequences are exacerbated by poverty and inequality, and low- and middle-income countries are most affected. AMR puts many of the gains of modern medicine at risk. It makes infections harder to treat and makes other medical procedures and treatments – such as surgery, caesarean sections and cancer chemotherapy – much riskier. "
